region,provincia,comuna,candidato,pacto,partido,subpacto,nivel
LA ARAUCANIA,CAUTIN,PADRE LAS CASAS,LUIS ALBERTO OJEDA CONTRERAS,FRENTE AMPLIO,INDEPENDIENTES,SUBPACTO HUMANISTAS MAS INDEPENDIENTES,Core
LA ARAUCANIA,CAUTIN,PADRE LAS CASAS,SERGIO HERRERA MUÑOZ,FRENTE AMPLIO,INDEPENDIENTES,SUBPACTO HUMANISTAS MAS INDEPENDIENTES,Core
LA ARAUCANIA,CAUTIN,PADRE LAS CASAS,GABRIEL FERNANDEZ CARCAMO,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,SUBPACTO PS E INDEPENDIENTES,Core
LA ARAUCANIA,CAUTIN,PADRE LAS CASAS,NARCISO GALVEZ FUENTES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,SUBPACTO PS E INDEPENDIENTES,Core
LA ARAUCANIA,CAUTIN,PADRE LAS CASAS,RICHARD QUINTANA VALDEBENITO,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,SUBPACTO PS E INDEPENDIENTES,Core
LA ARAUCANIA,CAUTIN,PADRE LAS CASAS,CRISTOBAL CAMPOS AGUILERA,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,SUBPACTO PDC E INDEPENDIENTES,Core
LA ARAUCANIA,CAUTIN,PADRE LAS CASAS,RICARDO PAREDES SANDOVAL,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,SUBPACTO PDC E INDEPENDIENTES,Core
LA ARAUCANIA,CAUTIN,PADRE LAS CASAS,MARCELO GARCIA SOTO,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,SUBPACTO PDC E INDEPENDIENTES,Core
LA ARAUCANIA,CAUTIN,PADRE LAS CASAS,DANIEL ALEJANDRO SANDOVAL POBLETE,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,SUBPACTO PDC E INDEPENDIENTES,Core
LA ARAUCANIA,CAUTIN,PADRE LAS CASAS,IRIS SANDOVAL NAVARRETE,CANDIDATURA INDEPENDIENTE,CANDIDATURA INDEPENDIENTE,NA,Core
LA ARAUCANIA,MALLECO,ANGOL,ROLANDO FLORES FERNANDEZ,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,SUBPACTO UDI - INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,ALICIA BAHAMONDES ARANEDA,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,SUBPACTO UDI - INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,CAROLINA LAGOS JOFRE,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,SUBPACTO UDI - INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,ALEJANDRO ROBERTO FUENTES INOSTROZA,CHILE VAMOS UDI - PRI - INDEPENDIENTES,PARTIDO REGIONALISTA INDEPENDIENTE,SUBPACTO PRI E INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,SANDRA  HENRIQUEZ SEPULVEDA,CHILE VAMOS UDI - PRI - INDEPENDIENTES,PARTIDO REGIONALISTA INDEPENDIENTE,SUBPACTO PRI E INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,IVAN LUENGO CASTILLO,POR TODO CHILE,PARTIDO PROGRESISTA,SUBPACTO PRO + INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,PATRICIO ALEJANDRO ERICES ERICES,POR TODO CHILE,PARTIDO PROGRESISTA,SUBPACTO PRO + INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,CARINA ISABEL ZUÑIGA MARCHANT,POR TODO CHILE,PARTIDO PROGRESISTA,SUBPACTO PRO + INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,JUAN DE LA CRUZ SEGURA ORTIZ,POR TODO CHILE,PARTIDO PROGRESISTA,SUBPACTO PRO + INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,JUAN CARLOS BELTRAN SILVA,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,SUBPACTO RN - INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,GUSTAVO KAUSEL KROLL,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,SUBPACTO RN - INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,MARIA ELIZABETH GUTIERREZ SAAVEDRA,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,SUBPACTO RN - INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,RAUL CEBALLOS LLANOS,CHILE VAMOS RN - EVOPOLI,EVOLUCION POLITICA,SUBPACTO EVOPOLI E INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,SERGIO PEREZ MENARES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,TOMAS DE LA MAZA DE LA MAZA,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,SUBPACTO PPD E INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,SOFIA DEL CARMEN PAINIQUEO TRAGNOLAO,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,SUBPACTO PPD E INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,CRISTIAN EMILIO SANTIBAÑEZ GAETE,POR UN CHILE JUSTO Y DESCENTRALIZADO,INDEPENDIENTES,SUBPACTO PPD E INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,ALEX LORENS CASTILLO SALAMANCA,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO RADICAL SOCIALDEMOCRATA,SUBPACTO PRSD E INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,PATRICIO JAVIER PRIETO FLORES,POR UN CHILE JUSTO Y DESCENTRALIZADO,INDEPENDIENTES,SUBPACTO PRSD E INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,EDGARDO FEDERICO SIERRA NEIRA,SUMEMOS,AMPLITUD,SUBPACTO AMPLITUD E INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,RONIER JERARDO PAILAHUEQUE PAILAHUEQUE,FRENTE AMPLIO,INDEPENDIENTES,SUBPACTO HUMANISTAS MAS INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,JUAN FERNANDO HERNANDEZ AREVALO,FRENTE AMPLIO,INDEPENDIENTES,SUBPACTO HUMANISTAS MAS INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,CAMILO ALFREDO JARA TAPIA,FRENTE AMPLIO,INDEPENDIENTES,SUBPACTO HUMANISTAS MAS INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,MONICA ELIZABETH RODRIGUEZ RODRIGUEZ,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,SUBPACTO PDC E INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,JOSE MIGUEL HERNANDEZ SAFFIRIO,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,SUBPACTO PDC E INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,VICTOR CUEVAS QUIÑONES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,SUBPACTO PS E INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,SEBASTIAN DONOSO GOMEZ,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,SUBPACTO PS E INDEPENDIENTES,Core
LA ARAUCANIA,MALLECO,ANGOL,VALESKA RIVERA QUILAPI,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,SUBPACTO PS E INDEPENDIENTES,Core
LOS LAGOS,CHILOE,ANCUD,FEDERICO KRUGER FINSTERBUSCH,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,SUBPACTO UDI - INDEPENDIENTES,Core
LOS LAGOS,CHILOE,ANCUD,SERAFIN ALTAMIRANO GARRIDO,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,SUBPACTO UDI - INDEPENDIENTES,Core
LOS LAGOS,CHILOE,ANCUD,MARCOS VELASQUEZ MACIAS,CHILE VAMOS UDI - PRI - INDEPENDIENTES,INDEPENDIENTES,SUBPACTO UDI - INDEPENDIENTES,Core
LOS LAGOS,CHILOE,ANCUD,RICARDO ALBERTO BARRIENTOS TECA,POR TODO CHILE,PARTIDO PROGRESISTA,SUBPACTO PRO + INDEPENDIENTES,Core
LOS LAGOS,CHILOE,ANCUD,ENZO PATRICIO ROJEL BARRIENTOS,POR TODO CHILE,PARTIDO PROGRESISTA,SUBPACTO PRO + INDEPENDIENTES,Core
LOS LAGOS,CHILOE,ANCUD,ANDRES  CAMUS BADILLO,POR TODO CHILE,INDEPENDIENTES,SUBPACTO PRO + INDEPENDIENTES,Core
LOS LAGOS,CHILOE,ANCUD,FERNANDO BORQUEZ MONTECINOS,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,SUBPACTO RN - INDEPENDIENTES,Core
LOS LAGOS,CHILOE,ANCUD,FRANCISCO  CARCAMO HERNANDEZ,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,SUBPACTO RN - INDEPENDIENTES,Core
LOS LAGOS,CHILOE,ANCUD,JUANA  CARDENAS VEGA,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,SUBPACTO RN - INDEPENDIENTES,Core
LOS LAGOS,CHILOE,ANCUD,JULIO SANZANA CARDENAS,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,SUBPACTO RN - INDEPENDIENTES,Core
LOS LAGOS,CHILOE,ANCUD,MARIO ENRIQUE CONTRERAS VEGA,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,SUBPACTO PCCH E INDEPENDIENTES,Core
LOS LAGOS,CHILOE,ANCUD,ANA MAGDALENA VERA ARANCIBIA,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,SUBPACTO PCCH E INDEPENDIENTES,Core
LOS LAGOS,CHILOE,ANCUD,CRISTIAN ESTEBAN MIRANDA BORQUEZ,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,SUBPACTO PPD E INDEPENDIENTES,Core
LOS LAGOS,CHILOE,ANCUD,RUBEN PATRICIO FLORES CUEVAS,POR UN CHILE JUSTO Y DESCENTRALIZADO,INDEPENDIENTES,SUBPACTO PPD E INDEPENDIENTES,Core
LOS LAGOS,CHILOE,ANCUD,RODRIGO ALEXIS RIVAL MORALES,COALICIÓN REGIONALISTA VERDE,DEMOCRACIA REGIONAL PATAGONICA,SUBPACTO DEMOCRACIA REGIONAL E INDEPENDIENTES,Core
LOS LAGOS,CHILOE,ANCUD,BENITO HERIBERTO PEREZ MUÑOZ,COALICIÓN REGIONALISTA VERDE,DEMOCRACIA REGIONAL PATAGONICA,SUBPACTO DEMOCRACIA REGIONAL E INDEPENDIENTES,Core
LOS LAGOS,CHILOE,ANCUD,INGRID JEANNETTE GUAQUIN GUAQUIN,COALICIÓN REGIONALISTA VERDE,INDEPENDIENTES,SUBPACTO DEMOCRACIA REGIONAL E INDEPENDIENTES,Core
LOS LAGOS,CHILOE,ANCUD,ANGELICA DEL TRANSITO CALISTO CHAMBLA,COALICIÓN REGIONALISTA VERDE,INDEPENDIENTES,SUBPACTO DEMOCRACIA REGIONAL E INDEPENDIENTES,Core
LOS LAGOS,CHILOE,ANCUD,NELSON  AGUILA SERPA,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,SUBPACTO PDC E INDEPENDIENTES,Core
LOS LAGOS,CHILOE,ANCUD,MAURICIO HENRIQUEZ SANDOVAL,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,SUBPACTO PDC E INDEPENDIENTES,Core
LOS LAGOS,CHILOE,ANCUD,MANUEL BALLESTEROS CURUMILLA,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,SUBPACTO PS E INDEPENDIENTES,Core
LOS LAGOS,CHILOE,ANCUD,MARCELA PAZ RAMOS ESPINOSA,FRENTE ECOLOGISTA Y CIUDADANO,INDEPENDIENTES,NA,Core
LOS LAGOS,LLANQUIHUE,FRESIA,JUAN HUMBERTO ORTIZ BOHLE,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,SUBPACTO UDI - INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,GEOVANNI  AGUILA ALVARADO,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,SUBPACTO UDI - INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,MARTIN  ERCORECA NEGRON,CHILE VAMOS UDI - PRI - INDEPENDIENTES,INDEPENDIENTES,SUBPACTO UDI - INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,GABRIEL ARTURO SOTO OYARZUN,CHILE VAMOS UDI - PRI - INDEPENDIENTES,PARTIDO REGIONALISTA INDEPENDIENTE,SUBPACTO PRI E INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,GERARDO HUGO MORALES NAVES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,PARTIDO REGIONALISTA INDEPENDIENTE,SUBPACTO PRI E INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,GABRIELA DOMINGA SILVA GONZALEZ,CHILE VAMOS UDI - PRI - INDEPENDIENTES,PARTIDO REGIONALISTA INDEPENDIENTE,SUBPACTO PRI E INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,FERNANDO  URIBE URIBE,POR TODO CHILE,PARTIDO PROGRESISTA,SUBPACTO PRO + INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,JUAN PATRICIO GODOY GODOY,POR TODO CHILE,PARTIDO PROGRESISTA,SUBPACTO PRO + INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,GUILLERMO ESTEBAN CHAVEZ ALVARADO,POR TODO CHILE,PARTIDO PROGRESISTA,SUBPACTO PRO + INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,PAMELA ALEJANDRA MANSILLA LAVADO,POR TODO CHILE,PARTIDO PROGRESISTA,SUBPACTO PRO + INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,RICARDO  KUSCHEL SILVA,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,SUBPACTO RN - INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,JAIME  BRAHM BARRIL,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,SUBPACTO RN - INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,JOSE  ABURTO ANCAPAN,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,SUBPACTO RN - INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,MARIA ELENA BARRIA SOTO,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,SUBPACTO RN - INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,SILVANA  BARRIENTOS BOJANIC,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,SUBPACTO RN - INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,SILVERIO MORALES ROSALES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,SUBPACTO RN - INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,JAIME ANDRES MILLAN STUVEN,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,SUBPACTO PPD E INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,PAULINA WALESKA OJEDA CASANOVA,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,SUBPACTO PPD E INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,JUAN MARCOS ZUÑIGA RUIZ,POR UN CHILE JUSTO Y DESCENTRALIZADO,INDEPENDIENTES,SUBPACTO PPD E INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,VALENTINA NATALIA ALVAREZ NIETO,POR UN CHILE JUSTO Y DESCENTRALIZADO,INDEPENDIENTES,SUBPACTO PPD E INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,MIGUEL GONZALEZ CAIGUAN,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,SUBPACTO PCCH E INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,CESAR RAFAEL NEGRON BARRIA,SUMEMOS,AMPLITUD,SUBPACTO AMPLITUD E INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,CHRIS CAROLINA GUTIERREZ ARAVENA,SUMEMOS,AMPLITUD,SUBPACTO AMPLITUD E INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,JORGE BRUNO KEIM GUTIERREZ,FRENTE AMPLIO,PARTIDO LIBERAL DE CHILE,SUBPACTO LIBERALES MAS INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,CRISTOPHER RAUL RODRIGUEZ MIRANDA,FRENTE AMPLIO,INDEPENDIENTES,SUBPACTO LIBERALES MAS INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,DAVID EDGARDO ANDRADE TOLEDO,FRENTE AMPLIO,INDEPENDIENTES,SUBPACTO LIBERALES MAS INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,LUIS RIGOBERTO VELASQUEZ SILVA,FRENTE AMPLIO,INDEPENDIENTES,SUBPACTO LIBERALES MAS INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,JUAN CARLOS SOTO GALLEGOS,COALICIÓN REGIONALISTA VERDE,DEMOCRACIA REGIONAL PATAGONICA,SUBPACTO DEMOCRACIA REGIONAL E INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,RONY LOAIZA OYARZUN,COALICIÓN REGIONALISTA VERDE,DEMOCRACIA REGIONAL PATAGONICA,SUBPACTO DEMOCRACIA REGIONAL E INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,JUAN GERARDO ANDRADE NAVARRO,COALICIÓN REGIONALISTA VERDE,DEMOCRACIA REGIONAL PATAGONICA,SUBPACTO DEMOCRACIA REGIONAL E INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,JESSICA PAOLA SCHMEISSER ROJAS,COALICIÓN REGIONALISTA VERDE,INDEPENDIENTES,SUBPACTO DEMOCRACIA REGIONAL E INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,ELIANA DE LAS MERCEDES PONCE GONZALEZ,COALICIÓN REGIONALISTA VERDE,INDEPENDIENTES,SUBPACTO DEMOCRACIA REGIONAL E INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,JOSE CARLOS GARCIA ITURRIETA,COALICIÓN REGIONALISTA VERDE,INDEPENDIENTES,SUBPACTO DEMOCRACIA REGIONAL E INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,MANUEL RIVERA ALTAMIRANO,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,SUBPACTO PS E INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,BERNARDITA ALMONACID ABURTO,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,SUBPACTO PS E INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,PAMELA KARINA SOTO CARDENAS,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,SUBPACTO PS E INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,JUAN CARCAMO CARCAMO,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,SUBPACTO PDC E INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,JESSICA CAMPOS TOLEDO,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,SUBPACTO PDC E INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,VICTOR HUGO MUNZENMAYER CHAVEZ,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,SUBPACTO PDC E INDEPENDIENTES,Core
LOS LAGOS,LLANQUIHUE,FRESIA,MARIO ADRIAN MEDINA TOLEDO,FRENTE ECOLOGISTA Y CIUDADANO,PODER,NA,Core
LOS LAGOS,LLANQUIHUE,FRESIA,IVAN LEONEL GONZALEZ ESCOBAR,FRENTE ECOLOGISTA Y CIUDADANO,PODER,NA,Core
LOS LAGOS,OSORNO,OSORNO,MARIA ANGELICA BARRAZA ARELLANO,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,SUBPACTO UDI - INDEPENDIENTES,Core
LOS LAGOS,OSORNO,OSORNO,SEBASTIAN  CRUZAT CARCAMO,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,SUBPACTO UDI - INDEPENDIENTES,Core
LOS LAGOS,OSORNO,OSORNO,JOSE ARMANDO GUARDA CARRILLO,CHILE VAMOS UDI - PRI - INDEPENDIENTES,PARTIDO REGIONALISTA INDEPENDIENTE,SUBPACTO PRI E INDEPENDIENTES,Core
LOS LAGOS,OSORNO,OSORNO,DAGOBERTO NATANAEL TORO GUAJARDO,CHILE VAMOS UDI - PRI - INDEPENDIENTES,PARTIDO REGIONALISTA INDEPENDIENTE,SUBPACTO PRI E INDEPENDIENTES,Core
LOS LAGOS,OSORNO,OSORNO,CARLOS  MORAGA SILVA,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,Core
LOS LAGOS,OSORNO,OSORNO,GLORIA  RISCO ALVAREZ,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,Core
LOS LAGOS,OSORNO,OSORNO,ALEXIS CASANOVA CARDENAS,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,SUBPACTO RN - INDEPENDIENTES,Core
LOS LAGOS,OSORNO,OSORNO,HECTOR KEMP VASQUEZ,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,SUBPACTO RN - INDEPENDIENTES,Core
LOS LAGOS,OSORNO,OSORNO,ELBA ELENA VARGAS FUENTES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,SUBPACTO PCCH E INDEPENDIENTES,Core
LOS LAGOS,OSORNO,OSORNO,SERGIO ALEXIS URBANO GONZALEZ,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,SUBPACTO PPD E INDEPENDIENTES,Core
LOS LAGOS,OSORNO,OSORNO,JUAN CARLOS DUHALDE ROMERO,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,SUBPACTO PPD E INDEPENDIENTES,Core
LOS LAGOS,OSORNO,OSORNO,ALEX ROBINSON OJEDA WESTERMEIER,SUMEMOS,INDEPENDIENTES,SUBPACTO CIUDADANOS E INDEPENDIENTES,Core
LOS LAGOS,OSORNO,OSORNO,MAYBELIN BETZABETH VARGAS FRIEDERICKSEN,FRENTE AMPLIO,INDEPENDIENTES,SUBPACTO LIBERALES MAS INDEPENDIENTES,Core
LOS LAGOS,OSORNO,OSORNO,JESSICA GEMMA KRAMM PERALTA,FRENTE AMPLIO,INDEPENDIENTES,SUBPACTO LIBERALES MAS INDEPENDIENTES,Core
LOS LAGOS,OSORNO,OSORNO,GASTON ANDRES SOTO SOTO,FRENTE AMPLIO,INDEPENDIENTES,SUBPACTO LIBERALES MAS INDEPENDIENTES,Core
LOS LAGOS,OSORNO,OSORNO,LUIS ALEJANDRO VELASQUEZ VELASQUEZ,COALICIÓN REGIONALISTA VERDE,DEMOCRACIA REGIONAL PATAGONICA,SUBPACTO DEMOCRACIA REGIONAL E INDEPENDIENTES,Core
LOS LAGOS,OSORNO,OSORNO,JUAN CARLOS SOTO SANHUEZA,COALICIÓN REGIONALISTA VERDE,INDEPENDIENTES,SUBPACTO DEMOCRACIA REGIONAL E INDEPENDIENTES,Core
LOS LAGOS,OSORNO,OSORNO,BORIS EDUARDO URIBE ILLESCA,COALICIÓN REGIONALISTA VERDE,INDEPENDIENTES,SUBPACTO DEMOCRACIA REGIONAL E INDEPENDIENTES,Core
LOS LAGOS,OSORNO,OSORNO,ADA CORALI FRIDERICKSEN JARA,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,SUBPACTO PS E INDEPENDIENTES,Core
LOS LAGOS,OSORNO,OSORNO,FRANCISCO JAVIER REYES CASTRO,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,SUBPACTO PS E INDEPENDIENTES,Core
LOS LAGOS,OSORNO,OSORNO,JOSE LUIS MUÑOZ URIBE,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,SUBPACTO PDC E INDEPENDIENTES,Core
LOS LAGOS,OSORNO,OSORNO,CARLOS  PEÑA RIOS,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,SUBPACTO PDC E INDEPENDIENTES,Core
LOS LAGOS,PALENA,CHAITEN,LUIS  GUTIERREZ ARAYA,CHILE VAMOS UDI - PRI - INDEPENDIENTES,INDEPENDIENTES,SUBPACTO UDI - INDEPENDIENTES,Core
LOS LAGOS,PALENA,CHAITEN,FERNANDO HERNANDEZ TORRES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,SUBPACTO RN - INDEPENDIENTES,Core
LOS LAGOS,PALENA,CHAITEN,GUILLERMO  WHITE MUÑOZ,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,SUBPACTO RN - INDEPENDIENTES,Core
LOS LAGOS,PALENA,CHAITEN,CRISTIAN ALEXIS MOLINA SOTO,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,SUBPACTO PCCH E INDEPENDIENTES,Core
LOS LAGOS,PALENA,CHAITEN,LEON  ROA SOTO,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,SUBPACTO PDC E INDEPENDIENTES,Core
